iter	RMSE
0	3.254589796
1	3.183573811
2	3.108055787
3	3.034395937
4	2.970505339
5	2.909075068
6	2.845780859
7	2.782807074
8	2.724655214
9	2.668039485
10	2.615731931
11	2.560383714
12	2.509461133
13	2.460797321
14	2.413795611
15	2.372534091
16	2.33122485
17	2.291683442
18	2.250384536
19	2.212685473
20	2.179553307
21	2.150523671
22	2.118449949
23	2.084835669
24	2.058462002
25	2.028206708
26	2.00061444
27	1.974893802
28	1.951762344
29	1.923927093
30	1.898719568
31	1.875369254
32	1.851757344
33	1.830414739
34	1.812465964
35	1.793904318
36	1.774133419
37	1.75976591
38	1.743242716
39	1.728442512
40	1.711588862
41	1.695629785
42	1.682553442
43	1.667817993
44	1.653237353
45	1.639658687
46	1.627515402
47	1.614409371
48	1.600942186
49	1.592104232
50	1.57983669
51	1.566019384
52	1.557883069
53	1.545215695
54	1.535121977
55	1.524782292
56	1.51638102
57	1.507806386
58	1.501003985
59	1.493628173
60	1.485592172
61	1.478392849
62	1.47258509
63	1.464499244
64	1.457259074
65	1.450465704
66	1.444179936
67	1.435749265
68	1.428918565
69	1.42151115
70	1.415512645
71	1.409509816
72	1.403494032
73	1.398299782
74	1.393035787
75	1.387602303
76	1.384216861
77	1.380267764
78	1.375125307
79	1.370111865
80	1.36580737
81	1.36279044
82	1.358915155
83	1.355026987
84	1.35282117
85	1.348519551
86	1.343972314
87	1.338455023
88	1.335311019
89	1.332162058
90	1.32957922
91	1.327897536
92	1.325125419
93	1.322261901
94	1.319166019
95	1.314013716
96	1.310493511
97	1.307130587
98	1.305293017
99	1.301969347
100	1.299740224
101	1.295285573
102	1.292348055
103	1.289605365
104	1.28685744
105	1.284758071
106	1.282195212
107	1.278472829
108	1.274102206
109	1.272156299
110	1.270632973
111	1.268287731
112	1.265497715
113	1.262020598
114	1.260366136
115	1.257352074
116	1.253963996
117	1.249656786
118	1.246068195
119	1.244654586
120	1.242166641
121	1.240257074
122	1.237609908
123	1.234158594
124	1.232215292
125	1.228822464
126	1.226637113
127	1.22573504
128	1.223742014
129	1.222431715
130	1.220866137
131	1.218932688
132	1.217280794
133	1.21501696
134	1.212560403
135	1.210520084
136	1.206572108
137	1.205109816
138	1.203517262
139	1.201654861
140	1.198902483
141	1.195383518
142	1.191805049
143	1.190720833
144	1.188029554
145	1.185850494
146	1.182880879
147	1.178949765
148	1.175114573
149	1.173081651
150	1.170436281
151	1.169118586
152	1.167485273
153	1.166335674
154	1.16448919
155	1.163672893
156	1.16176948
157	1.158809454
158	1.157886784
159	1.156914515
160	1.15513196
161	1.15180155
162	1.149196736
163	1.147782774
164	1.145773654
165	1.144701466
166	1.142447269
167	1.140902455
168	1.138823173
169	1.137232924
170	1.135161861
171	1.133886777
172	1.131547572
173	1.128885608
174	1.12597568
175	1.123354334
176	1.120335701
177	1.119849676
178	1.118173594
179	1.115660151
180	1.114733272
181	1.112591636
182	1.111170551
183	1.109911577
184	1.108093476
185	1.107532911
186	1.106884646
187	1.10589134
188	1.103339784
189	1.101066198
190	1.0998156
191	1.098712648
192	1.098290974
193	1.097438
194	1.096469783
195	1.095782323
196	1.092023883
197	1.091082542
198	1.089944578
199	1.089354218
200	1.088713601
201	1.087668805
202	1.087285818
203	1.086724855
204	1.084996216
205	1.082978847
206	1.082005094
207	1.081449018
208	1.08038188
209	1.079786133
210	1.079033519
211	1.078020769
212	1.076876151
213	1.075607963
214	1.074993323
215	1.074483933
216	1.073947706
217	1.073362357
218	1.073119801
219	1.070779112
220	1.06732582
221	1.064016347
222	1.063458606
223	1.062529456
224	1.061979366
225	1.061248382
226	1.061013566
227	1.059621627
228	1.056393037
229	1.055344292
230	1.052298781
231	1.051994736
232	1.050786103
233	1.050517407
234	1.050332042
235	1.048443913
236	1.048300335
237	1.048063986
238	1.047932014
239	1.047758836
240	1.044719451
241	1.044615656
242	1.044460734
243	1.04238937
244	1.04213759
245	1.039738986
246	1.039552022
247	1.037287658
248	1.036668631
249	1.036379637
250	1.036273186
251	1.035817359
252	1.034677266
253	1.034501916
254	1.032492031
255	1.032310842
256	1.031706802
257	1.030289322
258	1.030126003
259	1.02704994
260	1.025637547
261	1.023036307
262	1.022753549
263	1.021687106
264	1.02118471
265	1.020576121
266	1.020051178
267	1.019901129
268	1.017992376
269	1.017915699
270	1.016676261
271	1.013323582
272	1.013143006
273	1.013018017
274	1.01151485
275	1.008781139
276	1.00844937
