iter	Passed	Remaining
0	0	898
1	1	795
2	1	648
3	2	663
4	3	684
5	4	688
6	4	683
7	5	689
8	6	686
9	6	684
10	7	681
11	8	679
12	8	678
13	9	676
14	10	675
15	11	677
16	11	687
17	12	687
18	13	685
19	13	682
20	14	677
21	15	676
22	15	674
23	16	673
24	17	663
25	17	665
26	18	668
27	19	669
28	19	668
29	20	667
30	21	667
31	22	666
32	22	665
33	23	664
34	24	665
35	24	662
36	25	662
37	26	662
38	26	661
39	27	660
40	28	659
41	28	658
42	29	657
43	30	660
44	31	660
45	31	659
46	32	658
47	33	658
48	33	658
49	34	657
50	35	655
51	35	655
52	36	655
53	37	656
54	38	656
55	38	657
56	39	657
57	40	657
58	41	658
59	42	658
60	42	660
61	43	662
62	44	662
63	45	662
64	46	662
65	46	661
66	47	661
67	48	661
68	48	661
69	49	661
70	50	662
71	51	661
72	52	660
73	52	660
74	53	660
75	54	660
76	55	659
77	55	659
78	56	658
79	57	657
80	57	657
81	58	656
82	59	656
83	60	655
84	60	654
85	61	654
86	62	653
87	63	654
88	63	653
89	64	653
90	65	652
91	66	652
92	66	651
93	67	650
94	68	649
95	69	652
96	69	651
97	70	650
98	71	649
99	72	648
100	72	647
101	73	646
102	74	645
103	74	644
104	75	644
105	76	644
106	77	644
107	77	643
108	78	642
109	79	641
110	80	640
111	80	640
112	81	640
113	82	639
114	83	639
115	83	638
116	84	637
117	85	636
118	85	636
119	86	636
120	87	635
121	88	635
122	89	634
123	89	633
124	90	632
125	91	631
126	91	631
127	92	630
128	93	629
129	94	629
130	94	629
131	95	628
132	96	628
133	97	627
134	97	626
135	98	626
136	99	625
137	100	624
138	100	625
139	101	624
140	102	624
141	103	623
142	103	622
143	104	621
144	105	621
145	106	620
146	106	620
147	107	619
148	108	619
149	109	618
150	110	619
151	111	620
152	111	619
153	112	619
154	113	618
155	114	618
156	115	617
157	115	617
158	116	616
159	117	615
160	117	614
161	118	614
162	119	613
163	120	613
164	121	613
165	121	612
166	122	612
167	123	611
168	124	611
169	125	611
170	125	610
171	126	610
172	127	609
173	128	608
174	128	608
175	129	606
176	130	605
177	130	604
178	131	603
179	132	602
180	133	601
181	133	600
182	134	599
183	135	598
184	135	597
185	136	597
186	137	596
187	137	594
188	138	594
189	139	593
190	139	592
191	140	591
192	141	590
193	141	589
194	142	588
195	143	587
196	143	586
197	144	585
198	145	584
199	146	584
200	146	583
201	147	582
202	147	581
203	148	580
204	149	579
205	150	578
206	150	577
207	151	577
208	152	576
209	153	575
210	153	574
211	154	573
212	154	572
213	155	571
214	156	570
215	157	570
216	157	569
217	158	568
218	159	568
219	159	567
220	160	566
221	161	565
222	162	564
223	162	563
224	163	563
225	164	562
226	164	561
227	165	560
228	166	560
229	167	559
230	167	558
231	168	557
232	169	556
233	169	556
234	170	555
235	171	554
236	172	553
237	172	553
238	173	551
239	173	550
240	174	549
241	175	548
242	175	548
243	176	547
244	177	546
245	178	545
246	178	544
247	179	544
248	180	543
249	180	542
250	181	542
251	182	541
252	183	541
253	184	540
254	184	539
255	185	539
256	186	538
257	186	537
258	187	536
259	188	536
260	189	535
261	189	534
262	190	533
263	191	532
264	191	532
265	192	531
266	193	530
267	193	529
268	194	528
269	195	528
270	196	527
271	196	527
272	197	526
273	198	525
274	199	524
275	199	523
276	200	523
277	201	522
278	201	521
279	202	521
280	203	520
281	204	519
282	204	519
283	205	518
284	206	517
285	207	516
286	207	516
287	208	515
288	209	514
289	209	513
290	210	512
291	211	512
292	211	511
293	212	510
294	213	509
295	214	509
296	214	508
297	215	507
298	216	506
299	217	506
300	217	505
301	218	504
302	219	504
303	219	503
304	220	502
305	221	501
306	222	501
307	223	501
308	223	500
309	224	499
310	225	498
311	225	497
312	226	497
313	227	496
314	227	495
315	228	494
316	229	493
317	229	492
318	230	492
319	231	491
320	232	490
321	232	490
322	233	489
323	234	488
324	235	488
325	235	487
326	236	486
327	237	485
328	237	485
329	238	484
330	239	483
331	240	483
332	240	482
333	241	482
334	242	481
335	243	480
336	243	479
337	244	479
338	245	478
339	245	477
340	246	477
341	247	476
342	248	475
343	249	475
344	249	474
345	250	473
346	251	472
347	251	472
348	252	471
349	253	470
350	254	469
351	254	469
352	255	468
353	256	467
354	257	467
355	257	466
356	258	465
357	259	465
358	260	464
359	260	463
360	261	463
361	262	462
362	263	461
363	263	460
364	264	460
365	265	459
366	266	459
367	267	458
368	267	457
369	268	457
370	269	456
371	269	455
372	270	454
373	271	454
374	272	453
375	272	452
376	273	451
377	274	451
378	274	450
379	275	449
380	276	448
381	277	448
382	278	447
383	278	447
384	279	446
385	280	445
386	280	445
387	281	444
388	282	443
389	283	443
390	283	442
391	284	441
392	285	441
393	286	440
394	287	439
395	287	438
396	288	438
397	289	437
398	289	436
399	290	436
400	291	435
401	292	434
402	293	434
403	293	433
404	294	432
405	295	432
406	296	431
407	296	430
408	297	430
409	298	429
410	299	428
411	299	427
412	300	426
413	301	426
414	301	425
415	302	424
416	303	423
417	303	423
418	304	422
419	305	421
420	306	421
421	306	420
422	307	419
423	308	418
424	308	418
425	309	417
426	310	416
427	311	415
428	311	415
429	312	414
430	313	413
431	314	413
432	314	412
433	315	411
434	316	410
435	317	410
436	317	409
437	318	408
438	319	407
439	319	407
440	320	406
441	321	405
442	322	405
443	323	404
444	323	404
445	324	403
446	325	402
447	326	401
448	326	400
449	327	400
450	328	399
451	329	399
452	329	398
453	330	397
454	331	396
455	332	396
456	332	395
457	333	394
458	334	394
459	335	393
460	335	392
461	336	392
462	337	391
463	338	390
464	339	390
465	339	389
466	340	388
467	341	387
468	342	387
469	342	386
470	343	385
471	344	385
472	344	384
473	345	383
474	346	382
475	347	382
476	347	381
477	348	380
478	349	379
479	349	379
480	350	378
481	351	377
482	352	376
483	352	376
484	353	375
485	354	374
486	355	374
487	355	373
488	356	372
489	357	372
490	358	371
491	358	370
492	359	369
493	360	368
494	360	368
495	361	367
496	362	366
497	362	365
498	363	365
499	364	364
500	364	363
501	365	362
502	366	361
503	366	361
504	367	360
505	368	359
506	369	359
507	369	358
508	370	357
509	371	356
510	371	355
511	372	355
512	373	354
513	374	353
514	374	352
515	375	352
516	376	351
517	376	350
518	377	349
519	378	349
520	378	348
521	379	347
522	380	346
523	380	345
524	381	345
525	382	344
526	382	343
527	383	342
528	384	342
529	384	341
530	385	340
531	386	339
532	386	339
533	387	338
534	388	337
535	388	336
536	389	335
537	390	335
538	390	334
539	391	333
540	392	332
541	392	332
542	393	331
543	394	330
544	394	329
545	395	329
546	396	328
547	397	327
548	397	326
549	398	326
550	399	325
551	399	324
552	400	323
553	401	323
554	401	322
555	402	321
556	403	320
557	403	319
558	404	319
559	405	318
560	406	317
561	406	316
562	407	316
563	408	315
564	408	314
565	409	313
566	410	313
567	410	312
568	411	311
569	412	311
570	412	310
571	413	309
572	414	308
573	415	308
574	415	307
575	416	306
576	417	305
577	417	304
578	418	304
579	419	303
580	419	302
581	420	302
582	421	301
583	421	300
584	422	299
585	423	298
586	423	298
587	424	297
588	425	296
589	425	296
590	426	295
591	427	294
592	427	293
593	428	292
594	429	292
595	429	291
596	430	290
597	431	290
598	432	289
599	432	288
600	433	287
601	434	287
602	434	286
603	435	285
604	436	284
605	436	283
606	437	283
607	438	282
608	438	281
609	439	280
610	439	280
611	440	279
612	441	278
613	441	277
614	442	277
615	443	276
616	443	275
617	444	274
618	445	274
619	445	273
620	446	272
621	447	271
622	447	270
623	448	270
624	449	269
625	449	268
626	450	267
627	451	267
628	451	266
629	452	265
630	453	264
631	453	264
632	454	263
633	455	262
634	455	262
635	456	261
636	457	260
637	457	259
638	458	258
639	459	258
640	459	257
641	460	256
642	461	256
643	461	255
644	462	254
645	463	253
646	463	253
647	464	252
648	465	251
649	465	250
650	466	250
651	467	249
652	467	248
653	468	247
654	469	247
655	469	246
656	470	245
657	471	244
658	471	244
659	472	243
660	473	242
661	473	241
662	474	241
663	475	240
664	475	239
665	476	238
666	477	238
667	477	237
668	478	236
669	478	235
670	479	235
671	480	234
672	480	233
673	481	232
674	482	232
675	482	231
676	483	230
677	484	229
678	484	229
679	485	228
680	486	227
681	486	227
682	487	226
683	488	225
684	488	224
685	489	224
686	490	223
687	491	222
688	491	221
